"site_id","site_name","lat","lon","primer","is_core","is_ol","ol_ola","is_ul2","is_ul3","is_ol_sync","bitrate","pzone"
"S0191X","Site 0191",47.474288,19.074223,1,1,1,,,,1,1600,200
"S0143X","Site 0143",47.243243,21.514848,54,,1,,,,,400,200
"S0258X","Site 0258",47.531532,21.621622,52,1,1,,,,1,800,200
"S0193X","Site 0193",47.476307,19.049593,1,1,1,,,,1,1600,200
"S0282X","Site 0282",47.692812,17.679253,96,,1,,,,1,800,200
"S0257X","Site 0257",47.531532,19.913247,57,,1,,,,1,100,200
"S0082X","Site 0082",46.882883,19.673006,76,,1,,,,1,800,200
"S0349X","Site 0349",48.108108,20.767434,46,1,1,,,,1,1200,200
"S0050X","Site 0050",46.594595,18.845512,75,,1,,,,1,100,200
"S0006X","Site 0006",46.018018,18.178178,72,,1,,,,1,800,200
"S0022X","Site 0022",46.306306,20.126793,62,1,1,,,,1,1200,200
"S0125X","Site 0125",47.171171,20.233567,56,,1,,,,1,400,200
"S0122X","Site 0122",47.171171,18.418418,22,1,1,,,,1,800,200
"S0209X","Site 0209",47.475064,19.152486,1,1,1,,,,,800,200
"S0066X","Site 0066",46.810811,16.790123,92,1,1,,,,1,800,200
"S0112X","Site 0112",47.117117,18.845512,25,,,,1,,,100,200
"S0108X","Site 0108",47.099099,17.564231,88,,,,1,,,100,200
"S0139X","Site 0139",47.243243,19.592926,53,,,,1,,,200,200
"S0236X","Site 0236",47.539905,19.082695,1,,,,1,,,800,200
"S0295X","Site 0295",47.675676,19.486153,28,,,,1,,,100,7100
"S0016X","Site 0016",46.162162,18.952286,79,,,1,1,,1,400,200
"S0338X","Site 0338",47.963964,22.048715,42,,,,1,,,100,200
"S0347X","Site 0347",48.108108,19.272606,35,,,1,1,,1,200,200
"S0076X","Site 0076",46.882883,17.884551,84,,,,1,,,100,200
"S0088X","Site 0088",46.954955,17.884551,87,,,,1,,,100,200
"S0280X","Site 0280",47.603604,21.301301,52,,,,1,,,100,300
"S0182X","Site 0182",47.459459,18.845512,23,,,1,1,,1,400,200
"S0180X","Site 0180",47.459459,18.605272,22,,,,1,,,200,200
"S0183X","Site 0183",47.473547,18.968929,23,,,,1,,,200,200
"S0013X","Site 0013",46.177766,18.725392,74,,,,1,,,100,200
"S0268X","Site 0268",47.620740,19.067308,1,,,,1,,,400,200
"S0057X","Site 0057",46.666667,21.061061,66,,,1,1,,,200,200
"S0124X","Site 0124",47.171171,19.806473,53,,,1,1,,,400,200
"S0163X","Site 0163",47.387387,19.032366,1,,,,1,,,400,200
"S0123X","Site 0123",47.171171,19.272606,29,,,1,1,,1,200,200
"S0240X","Site 0240",47.543480,19.039079,1,,,,1,,,400,200
"S0027X","Site 0027",46.378378,18.098098,74,,,1,1,,1,100,200
"S0321X","Site 0321",47.819820,19.032366,26,,,,1,,,200,200
"S0150X","Site 0150",47.315315,19.165832,24,,,,1,,,200,200
"S0275X","Site 0275",47.585586,19.165832,27,,,,1,,,200,900
"S0138X","Site 0138",47.243243,19.059059,24,,,,1,,,100,200
"S0092X","Site 0092",46.954955,18.925592,25,,,1,1,,1,200,200
"S0332X","Site 0332",47.891892,20.340340,36,,,1,1,,1,400,200
"S0364X","Site 0364",48.324324,21.087754,46,,,,1,,,200,200
"S0320X","Site 0320",47.819820,18.738739,33,,,,1,,,400,200
"S0140X","Site 0140",47.258847,20.540541,56,,,,1,,,100,200
"S0062X","Site 0062",46.738739,17.564231,85,,,,1,,,100,200
"S0318X","Site 0318",47.747748,20.447114,36,,,1,1,,,200,200
"S0118X","Site 0118",47.099099,21.194528,66,,,,1,,,100,400
"S0059X","Site 0059",46.666667,21.301301,66,,,,1,,,100,200
"S0226X","Site 0226",47.475064,19.366033,29,,,,1,,,100,300
"S0312X","Site 0312",47.763352,19.899900,37,,,1,1,,1,400,200
"S0278X","Site 0278",47.603604,19.379379,28,,,,1,,,100,200
"S0299X","Site 0299",47.675676,21.541542,52,,,,1,,,100,200
"S0324X","Site 0324",47.819820,21.408075,52,,,,1,,,100,200
"S0204X","Site 0204",47.469609,19.187888,1,,,,1,,,400,200
"S0000X","Site 0000",45.873874,18.204872,72,,,,1,,,100,200
"S0297X","Site 0297",47.675676,19.726393,37,,,,1,,,400,200
"S0068X","Site 0068",46.826415,17.123790,83,,,,1,,,100,200
"S0034X","Site 0034",46.450450,20.340340,62,,,,1,,,200,200
"S0352X","Site 0352",48.108108,21.728395,42,,,,1,,,100,200
"S0192X","Site 0192",47.477346,19.062277,1,,,,1,,,800,200
"S0039X","Site 0039",46.538127,18.938939,78,,,,1,,,100,200
"S0026X","Site 0026",46.378378,17.777778,82,,,1,1,,,200,200
"S0260X","Site 0260",47.603604,17.030364,96,,,1,1,,1,200,200
"S0152X","Site 0152",47.315315,20.874208,59,,,1,1,,1,400,1100
"S0315X","Site 0315",47.747748,20.020020,37,,,,1,,,100,200
"S0361X","Site 0361",48.252252,20.660661,48,,,,1,,,400,200
"S0061X","Site 0061",46.738739,17.243911,83,,,1,1,,1,100,200
"S0243X","Site 0243",47.519583,19.039079,1,,,,1,,,400,200
"S0064X","Site 0064",46.738739,19.806473,76,,,1,1,,,100,200
"S0033X","Site 0033",46.450450,19.486153,77,,,1,1,,1,200,200
"S0051X","Site 0051",46.594595,19.272606,78,,,1,1,,,200,200
"S0363X","Site 0363",48.252252,22.075409,45,,,,1,,,400,200
"S0304X","Site 0304",47.747748,18.098098,34,,,,1,,,200,200
"S0135X","Site 0135",47.258847,18.618619,22,,,,1,,,200,200
"S0096X","Site 0096",47.027027,16.576577,94,,,,1,,,100,200
"S0203X","Site 0203",47.464770,19.191340,1,,,,1,,,400,200
"S0157X","Site 0157",47.387387,16.496496,94,,,,1,,,100,200
"S0084X","Site 0084",46.882883,20.020020,76,,,,1,,,100,200
"S0046X","Site 0046",46.594595,16.496496,92,,,,1,,,100,200
"S0030X","Site 0030",46.450450,16.683350,93,,,,1,,,100,200
"S0020X","Site 0020",46.234234,20.447114,62,,,,1,,,200,200
"S0048X","Site 0048",46.594595,17.457457,85,,,,1,,,200,200
"S0074X","Site 0074",46.810811,20.980981,66,,,,1,,,200,200
"S0323X","Site 0323",47.819820,20.553887,49,,,,1,,,400,200
"S0010X","Site 0010",46.018018,18.738739,69,,,1,1,,,200,200
"S0151X","Site 0151",47.315315,19.379379,29,,,1,1,,,200,200
"S0329X","Site 0329",47.891892,17.243911,96,,,,1,,,200,200
"S0241X","Site 0241",47.535844,19.033141,1,,,,1,,,800,200
"S0234X","Site 0234",47.515927,18.938939,1,,,,1,,,100,200
"S0339X","Site 0339",47.963964,22.369036,44,,,,1,,,400,200
"S0018X","Site 0018",46.234234,17.350684,82,,,1,1,,,200,200
"S0032X","Site 0032",46.450450,17.030364,93,,,1,1,,,200,200
"S0174X","Site 0174",47.387387,19.673006,29,,,,1,,,200,200
"S0105X","Site 0105",47.027027,19.833166,53,,,,1,,,100,200
"S0303X","Site 0303",47.675676,21.941942,52,,,,1,,,100,200
"S0328X","Site 0328",47.819820,22.182182,42,,,,1,,,200,200
"S0337X","Site 0337",47.963964,21.728395,42,,,1,1,,1,800,200
"S0044X","Site 0044",46.522523,20.633967,68,,,1,1,,,200,200
"S0238X","Site 0238",47.549418,19.062277,1,,,,1,,,400,200
"S0239X","Site 0239",47.548379,19.049593,1,,,,1,,,400,200
"S0190X","Site 0190",47.467833,19.082695,1,,,,1,,,400,200
"S0195X","Site 0195",47.463771,19.033141,1,,,,1,,,100,200
"S0267X","Site 0267",47.603604,18.952286,26,,,,1,,,200,200
"S0290X","Site 0290",47.675676,19.085752,26,,,,1,,,100,200
"S0145X","Site 0145",47.299711,17.444111,89,,,,1,,,100,200
"S0153X","Site 0153",47.315315,21.061061,54,,,,1,,,100,200
"S0225X","Site 0225",47.459459,19.299299,1,,,,1,,,400,400
"S0273X","Site 0273",47.621622,19.165832,1,,,,1,,,100,350
"S0330X","Site 0330",47.891892,19.139139,35,,,,1,,,200,200
"S0348X","Site 0348",48.108108,19.806473,32,,,1,1,,1,200,200
"S0250X","Site 0250",47.547136,19.152486,1,,,,1,,,400,200
"S0077X","Site 0077",46.882883,18.098098,84,,,1,1,,1,200,200
"S0281X","Site 0281",47.675676,16.603270,99,,,,1,,,400,200
"S0028X","Site 0028",46.378378,18.738739,74,,,,1,,,200,200
"S0289X","Site 0289",47.675676,19.032366,26,,,,1,,,400,200
"S0056X","Site 0056",46.666667,20.233567,63,,,,1,,,200,200
"S0003X","Site 0003",46.033622,17.977978,73,,,,1,,,100,200
"S0355X","Site 0355",48.180180,21.167835,47,,,1,1,,,200,200
