"site_id","site_name","ul_system","ul_subsystem","degree_ol","degree_ul","oca_core","oca_ol","oca_hops","oca_length","ocb_core","ocb_ol","ocb_hops","ocb_length","synca_parent","synca_hop","synca_length","syncb_parent","syncb_hop","syncb_length"
"S0191X","Site 0191",0,0,5,3,"Site 0209","Site 0191",1,6.075,"Site 0191","Site 0191",0,0.000,,,,,,
"S0143X","Site 0143",0,0,3,1,"Site 0258","Site 0143",1,37.927,"Site 0022","Site 0143",1,206.594,"S0258X",1,37.927,"S0125X",1,130.242
"S0258X","Site 0258",0,0,3,4,"Site 0022","Site 0258",2,244.521,"Site 0258","Site 0258",0,0.000,,,,,,
"S0193X","Site 0193",0,0,5,3,"Site 0191","Site 0193",1,8.895,"Site 0193","Site 0193",0,0.000,,,,,,
"S0282X","Site 0282",0,0,3,0,"Site 0122","Site 0282",1,141.565,"Site 0191","Site 0282",1,136.365,,,,,,
"S0257X","Site 0257",0,0,3,3,"Site 0349","Site 0257",1,117.348,"Site 0191","Site 0257",1,77.931,,,,,,
"S0082X","Site 0082",0,0,5,1,"Site 0022","Site 0082",1,86.745,"Site 0209","Site 0082",1,102.433,,,,,,
"S0349X","Site 0349",0,0,3,2,"Site 0258","Site 0349",1,145.777,"Site 0349","Site 0349",0,0.000,,,,,,
"S0050X","Site 0050",0,0,4,1,"Site 0122","Site 0050",1,80.228,"Site 0193","Site 0050",1,124.904,,,,,,
"S0006X","Site 0006",0,0,4,2,"Site 0022","Site 0006",1,208.801,"Site 0122","Site 0006",1,172.261,,,,,,
"S0022X","Site 0022",0,0,3,4,"Site 0209","Site 0022",2,189.178,"Site 0022","Site 0022",0,0.000,,,,,,
"S0125X","Site 0125",0,0,4,0,"Site 0191","Site 0125",2,131.321,"Site 0258","Site 0125",1,132.285,,,,,,
"S0122X","Site 0122",0,0,5,3,"Site 0066","Site 0122",1,180.315,"Site 0122","Site 0122",0,0.000,,,,,,
"S0209X","Site 0209",0,0,3,5,"Site 0191","Site 0209",1,6.075,"Site 0209","Site 0209",0,0.000,"S0193X",1,8.737,"S0191X",1,6.075
"S0066X","Site 0066",0,0,3,3,"Site 0122","Site 0066",1,180.315,"Site 0066","Site 0066",0,0.000,,,,,,
"S0112X","Site 0112",1,1,0,3,"Site 0193","Site 0193",3,56.513,"Site 0191","Site 0191",5,224.663,"S0162X",3,56.513,"S0092X",1,18.645
"S0108X","Site 0108",1,2,0,2,"Site 0066","Site 0066",4,208.906,"Site 0122","Site 0122",3,116.744,"S0131X",2,149.129,"S0109X",1,64.757
"S0139X","Site 0139",1,3,0,3,"Site 0191","Site 0257",3,142.614,"Site 0022","Site 0022",4,223.795,"S0081X",2,144.071,"S0124X",2,64.683
"S0236X","Site 0236",2,4,0,3,"Site 0209","Site 0209",9,43.050,"Site 0193","Site 0193",4,25.847,"S0245X",4,25.847,"S0237X",9,50.805
"S0295X","Site 0295",2,5,0,3,"Site 0349","Site 0257",5,275.848,"Site 0209","Site 0209",7,135.735,"S0279X",7,164.058,"S0297X",4,158.500
"S0016X","Site 0016",1,6,0,3,"Site 0122","Site 0050",4,211.827,"Site 0022","Site 0022",4,169.508,,,,,,
"S0338X","Site 0338",2,7,0,2,"Site 0258","Site 0258",7,244.414,"Site 0349","Site 0349",5,126.904,"S0363X",7,244.414,"S0337X",1,33.622
"S0347X","Site 0347",2,8,0,2,"Site 0191","Site 0191",4,91.881,"Site 0349","Site 0349",6,281.555,,,,,,
"S0076X","Site 0076",1,9,0,2,"Site 0066","Site 0066",8,392.359,"Site 0122","Site 0122",4,134.483,"S0077X",1,16.921,"S0062X",6,190.558
"S0088X","Site 0088",1,10,0,2,"Site 0066","Site 0066",4,129.329,"Site 0122","Site 0122",3,137.820,"S0090X",3,137.820,"S0075X",2,85.470
"S0280X","Site 0280",2,11,0,2,"Site 0191","Site 0257",7,284.951,"Site 0258","Site 0143",4,132.500,"S0230X",4,132.500,"S0299X",6,207.020
"S0182X","Site 0182",2,12,0,3,"Site 0193","Site 0193",3,49.119,"Site 0209","Site 0209",10,99.602,,,,,,
"S0180X","Site 0180",1,1,0,2,"Site 0191","Site 0191",2,47.197,"Site 0193","Site 0193",6,233.979,"S0264X",1,25.201,"S0183X",2,47.197
"S0183X","Site 0183",1,13,0,3,"Site 0191","Site 0191",1,18.794,"Site 0122","Site 0122",2,68.328,"S0135X",2,68.328,"S0191X",1,18.794
"S0013X","Site 0013",1,14,0,2,"Site 0066","Site 0066",6,380.811,"Site 0122","Site 0050",3,135.661,"S0028X",2,55.433,"S0000X",4,179.010
"S0268X","Site 0268",2,12,0,2,"Site 0209","Site 0209",6,32.456,"Site 0193","Site 0193",7,116.265,"S0243X",4,31.179,"S0289X",4,67.146
"S0057X","Site 0057",2,15,0,2,"Site 0258","Site 0258",8,372.093,"Site 0022","Site 0022",3,149.287,"S0059X",8,372.093,"S0044X",3,149.287
"S0124X","Site 0124",1,16,0,4,"Site 0191","Site 0257",2,123.447,"Site 0022","Site 0082",3,122.071,"S0105X",2,35.326,"S0257X",1,45.516
"S0163X","Site 0163",1,17,0,3,"Site 0193","Site 0193",6,87.591,"Site 0209","Site 0209",2,10.177,"S0148X",4,129.114,"S0190X",3,16.252
"S0123X","Site 0123",3,18,0,2,"Site 0209","Site 0209",1,49.343,"Site 0022","Site 0022",2,139.835,,,,,,
"S0240X","Site 0240",2,19,0,3,"Site 0209","Site 0209",1,7.194,"Site 0193","Site 0193",2,11.044,"S0239X",2,11.044,"S0209X",2,13.269
"S0027X","Site 0027",2,20,0,2,"Site 0193","Site 0193",5,291.736,"Site 0022","Site 0006",3,277.359,,,,,,
"S0321X","Site 0321",2,21,0,2,"Site 0122","Site 0122",4,210.984,"Site 0191","Site 0191",3,57.106,"S0308X",3,57.106,"S0320X",4,210.984
"S0150X","Site 0150",1,17,0,2,"Site 0209","Site 0209",3,31.883,"Site 0193","Site 0193",5,65.885,"S0138X",5,65.885,"S0163X",4,37.958
"S0275X","Site 0275",2,22,0,3,"Site 0191","Site 0191",1,23.474,"Site 0193","Site 0193",9,153.238,"S0191X",1,23.474,"S0308X",3,68.407
"S0138X","Site 0138",1,17,0,2,"Site 0209","Site 0209",4,53.025,"Site 0193","Site 0193",4,44.743,"S0147X",4,44.743,"S0150X",5,59.100
"S0092X","Site 0092",1,23,0,3,"Site 0193","Site 0193",4,75.158,"Site 0022","Site 0082",5,249.599,,,,,,
"S0332X","Site 0332",2,8,0,2,"Site 0191","Site 0191",7,259.961,"Site 0349","Site 0349",3,113.475,,,,,,
"S0364X","Site 0364",2,24,0,2,"Site 0349","Site 0349",3,171.661,"Site 0258","Site 0258",7,269.607,"S0368X",3,171.661,"S0365X",5,212.821
"S0320X","Site 0320",2,21,0,3,"Site 0191","Site 0191",4,87.717,"Site 0122","Site 0122",3,180.373,"S0321X",4,87.717,"S0304X",3,180.373
"S0140X","Site 0140",1,25,0,2,"Site 0258","Site 0258",2,105.356,"Site 0022","Site 0022",6,172.699,"S0152X",1,43.419,"S0126X",6,172.699
"S0062X","Site 0062",1,9,0,2,"Site 0122","Site 0122",5,164.945,"Site 0066","Site 0066",7,361.897,"S0076X",2,47.383,"S0048X",5,160.096
"S0318X","Site 0318",2,11,0,3,"Site 0191","Site 0257",2,132.925,"Site 0258","Site 0143",9,284.526,"S0323X",9,284.526,"S0257X",1,54.994
"S0118X","Site 0118",2,15,0,2,"Site 0022","Site 0022",6,279.624,"Site 0258","Site 0258",5,241.756,"S0107X",5,241.756,"S0074X",6,279.624
"S0059X","Site 0059",2,15,0,2,"Site 0022","Site 0022",4,171.794,"Site 0258","Site 0258",7,349.586,"S0074X",7,349.586,"S0057X",4,171.794
"S0226X","Site 0226",2,26,0,3,"Site 0191","Site 0191",4,80.719,"Site 0209","Site 0209",4,52.396,"S0278X",4,80.719,"S0151X",3,64.973
"S0312X","Site 0312",2,8,0,2,"Site 0349","Site 0349",4,173.781,"Site 0191","Site 0191",6,199.655,,,,,,
"S0278X","Site 0278",2,26,0,2,"Site 0209","Site 0209",5,79.179,"Site 0191","Site 0191",3,53.936,"S0293X",3,53.936,"S0226X",4,91.756
"S0299X","Site 0299",2,11,0,2,"Site 0258","Site 0143",5,148.339,"Site 0191","Site 0257",6,269.112,"S0280X",5,148.339,"S0324X",5,191.181
"S0324X","Site 0324",2,11,0,2,"Site 0258","Site 0143",6,171.514,"Site 0191","Site 0257",5,245.937,"S0299X",6,171.514,"S0336X",4,168.006
"S0204X","Site 0204",2,27,0,3,"Site 0209","Site 0209",1,6.314,"Site 0193","Site 0193",7,50.845,"S0209X",2,15.051,"S0225X",7,111.851
"S0000X","Site 0000",1,14,0,2,"Site 0122","Site 0050",4,212.271,"Site 0066","Site 0066",5,304.201,"S0013X",3,132.043,"S0001X",3,102.400
"S0297X","Site 0297",2,5,0,3,"Site 0209","Site 0209",8,157.840,"Site 0349","Site 0257",4,253.743,"S0295X",8,186.163,"S0315X",3,136.395
"S0068X","Site 0068",1,10,0,2,"Site 0066","Site 0066",1,35.781,"Site 0122","Site 0122",6,231.368,"S0066X",1,35.781,"S0061X",1,8.078
"S0034X","Site 0034",1,25,0,2,"Site 0022","Site 0022",1,25.173,"Site 0258","Site 0258",7,252.882,"S0056X",6,190.945,"S0022X",1,25.173
"S0352X","Site 0352",2,28,0,2,"Site 0258","Site 0258",7,256.805,"Site 0349","Site 0349",5,129.115,"S0363X",7,256.805,"S0337X",1,35.833
"S0192X","Site 0192",2,29,0,2,"Site 0193","Site 0193",4,16.322,"Site 0209","Site 0209",2,5.364,"S0200X",3,107.797,"S0195X",4,16.322
"S0039X","Site 0039",1,30,0,2,"Site 0022","Site 0022",5,212.849,"Site 0193","Site 0193",6,186.277,"S0051X",2,111.119,"S0016X",1,43.341
"S0026X","Site 0026",1,9,0,2,"Site 0122","Site 0122",7,242.538,"Site 0066","Site 0066",5,284.304,"S0048X",4,124.976,"S0001X",3,82.503
"S0260X","Site 0260",1,31,0,3,"Site 0066","Site 0066",4,158.636,"Site 0191","Site 0191",6,414.513,,,,,,
"S0152X","Site 0152",1,25,0,2,"Site 0258","Site 0258",1,61.937,"Site 0022","Site 0022",7,216.118,,,,,,
"S0315X","Site 0315",2,5,0,2,"Site 0349","Site 0257",3,217.811,"Site 0209","Site 0209",9,193.772,"S0297X",9,222.095,"S0318X",2,100.463
"S0361X","Site 0361",2,8,0,3,"Site 0349","Site 0349",1,23.805,"Site 0191","Site 0191",9,349.631,"S0349X",1,23.805,"S0360X",2,89.670
"S0061X","Site 0061",1,10,0,3,"Site 0066","Site 0066",2,43.859,"Site 0122","Site 0122",5,223.290,,,,,,
"S0243X","Site 0243",2,32,0,3,"Site 0193","Site 0193",3,23.143,"Site 0209","Site 0209",5,24.420,"S0241X",3,23.143,"S0238X",5,32.175
"S0064X","Site 0064",3,18,0,2,"Site 0022","Site 0022",1,59.541,"Site 0209","Site 0209",2,129.637,"S0022X",1,59.541,"S0123X",1,80.294
"S0033X","Site 0033",1,3,0,3,"Site 0191","Site 0257",5,286.685,"Site 0022","Site 0022",2,79.724,,,,,,
"S0051X","Site 0051",1,30,0,2,"Site 0193","Site 0193",5,152.544,"Site 0022","Site 0022",6,246.582,"S0092X",1,77.386,"S0039X",2,77.074
"S0363X","Site 0363",2,7,0,4,"Site 0349","Site 0349",6,166.266,"Site 0258","Site 0258",6,205.052,"S0358X",6,205.052,"S0338X",2,72.984
"S0304X","Site 0304",2,21,0,2,"Site 0191","Site 0191",5,152.963,"Site 0122","Site 0122",2,115.127,"S0320X",5,152.963,"S0232X",2,115.127
"S0135X","Site 0135",1,13,0,3,"Site 0122","Site 0122",1,27.141,"Site 0191","Site 0191",2,59.981,"S0122X",1,27.141,"S0183X",2,59.981
