"src_id","dst_id","src_name","dst_name","oc_name","hop","oms_id","oms_name","oms_dir","ul_system","ul_subsystem"
"S0191X","S0209X","Site 0191","Site 0209","Site 0191-Site 0209 OC1",1,3,"Site 0191-Site 0209 OMS1","FW",0,0
"S0143X","S0258X","Site 0143","Site 0258","Site 0143-Site 0258 OC1",1,26,"Site 0258-Site 0143 OMS1","BW",0,0
"S0143X","S0022X","Site 0143","Site 0022","Site 0143-Site 0022 OC1",1,602,"Site 0022-Site 0143 OMS1","BW",0,0
"S0258X","S0022X","Site 0258","Site 0022","Site 0258-Site 0022 OC1",1,26,"Site 0258-Site 0143 OMS1","FW",0,0
"S0258X","S0022X","Site 0258","Site 0022","Site 0258-Site 0022 OC1",2,602,"Site 0022-Site 0143 OMS1","BW",0,0
"S0193X","S0191X","Site 0193","Site 0191","Site 0193-Site 0191 OC1",1,0,"Site 0191-Site 0193 OMS1","BW",0,0
"S0282X","S0122X","Site 0282","Site 0122","Site 0282-Site 0122 OC1",1,601,"Site 0282-Site 0122 OMS2","FW",0,0
"S0282X","S0191X","Site 0282","Site 0191","Site 0282-Site 0191 OC1",1,613,"Site 0191-Site 0282 OMS1","BW",0,0
"S0257X","S0349X","Site 0257","Site 0349","Site 0257-Site 0349 OC1",1,607,"Site 0349-Site 0257 OMS1","BW",0,0
"S0257X","S0191X","Site 0257","Site 0191","Site 0257-Site 0191 OC1",1,610,"Site 0191-Site 0257 OMS1","BW",0,0
"S0082X","S0022X","Site 0082","Site 0022","Site 0082-Site 0022 OC1",1,596,"Site 0022-Site 0082 OMS1","BW",0,0
"S0082X","S0209X","Site 0082","Site 0209","Site 0082-Site 0209 OC1",1,616,"Site 0082-Site 0209 OMS1","FW",0,0
"S0349X","S0258X","Site 0349","Site 0258","Site 0349-Site 0258 OC1",1,605,"Site 0349-Site 0258 OMS1","FW",0,0
"S0050X","S0122X","Site 0050","Site 0122","Site 0050-Site 0122 OC1",1,126,"Site 0050-Site 0122 OMS1","FW",0,0
"S0050X","S0193X","Site 0050","Site 0193","Site 0050-Site 0193 OC1",1,606,"Site 0050-Site 0193 OMS1","FW",0,0
"S0006X","S0022X","Site 0006","Site 0022","Site 0006-Site 0022 OC1",1,594,"Site 0022-Site 0006 OMS1","BW",0,0
"S0006X","S0122X","Site 0006","Site 0122","Site 0006-Site 0122 OC1",1,598,"Site 0122-Site 0006 OMS1","BW",0,0
"S0022X","S0209X","Site 0022","Site 0209","Site 0022-Site 0209 OC1",1,596,"Site 0022-Site 0082 OMS1","FW",0,0
"S0022X","S0209X","Site 0022","Site 0209","Site 0022-Site 0209 OC1",2,616,"Site 0082-Site 0209 OMS1","FW",0,0
"S0125X","S0191X","Site 0125","Site 0191","Site 0125-Site 0191 OC1",1,101,"Site 0257-Site 0125 OMS1","BW",0,0
"S0125X","S0191X","Site 0125","Site 0191","Site 0125-Site 0191 OC1",2,610,"Site 0191-Site 0257 OMS1","BW",0,0
"S0125X","S0258X","Site 0125","Site 0258","Site 0125-Site 0258 OC1",1,604,"Site 0125-Site 0258 OMS1","FW",0,0
"S0122X","S0066X","Site 0122","Site 0066","Site 0122-Site 0066 OC1",1,599,"Site 0066-Site 0122 OMS1","BW",0,0
"S0209X","S0191X","Site 0209","Site 0191","Site 0209-Site 0191 OC1",1,3,"Site 0191-Site 0209 OMS1","BW",0,0
"S0066X","S0122X","Site 0066","Site 0122","Site 0066-Site 0122 OC1",1,599,"Site 0066-Site 0122 OMS1","FW",0,0
"S0112X","S0022X","Site 0112","Site 0022","Site 0112-Site 0022 OC1",1,208,"Site 0092-Site 0112 OMS1","BW",1,1
"S0112X","S0022X","Site 0112","Site 0022","Site 0112-Site 0022 OC1",2,324,"Site 0092-Site 0102 OMS1","FW",1,1
"S0112X","S0022X","Site 0112","Site 0022","Site 0112-Site 0022 OC1",3,118,"Site 0102-Site 0082 OMS1","FW",1,1
"S0112X","S0022X","Site 0112","Site 0022","Site 0112-Site 0022 OC1",4,596,"Site 0022-Site 0082 OMS1","BW",1,1
"S0112X","S0193X","Site 0112","Site 0193","Site 0112-Site 0193 OC1",1,215,"Site 0112-Site 0162 OMS1","FW",1,1
"S0112X","S0193X","Site 0112","Site 0193","Site 0112-Site 0193 OC1",2,584,"Site 0162-Site 0198 OMS1","FW",1,1
"S0112X","S0193X","Site 0112","Site 0193","Site 0112-Site 0193 OC1",3,77,"Site 0193-Site 0198 OMS2","BW",1,1
"S0108X","S0066X","Site 0108","Site 0066","Site 0108-Site 0066 OC1",1,218,"Site 0108-Site 0131 OMS1","FW",2,2
"S0108X","S0066X","Site 0108","Site 0066","Site 0108-Site 0066 OC1",2,556,"Site 0130-Site 0131 OMS1","BW",2,2
"S0108X","S0066X","Site 0108","Site 0066","Site 0108-Site 0066 OC1",3,456,"Site 0096-Site 0130 OMS1","BW",2,2
"S0108X","S0066X","Site 0108","Site 0066","Site 0108-Site 0066 OC1",4,201,"Site 0096-Site 0066 OMS1","FW",2,2
"S0108X","S0122X","Site 0108","Site 0122","Site 0108-Site 0122 OC1",1,221,"Site 0109-Site 0108 OMS1","BW",2,2
"S0108X","S0122X","Site 0108","Site 0122","Site 0108-Site 0122 OC1",2,581,"Site 0109-Site 0120 OMS1","FW",2,2
"S0108X","S0122X","Site 0108","Site 0122","Site 0108-Site 0122 OC1",3,186,"Site 0122-Site 0120 OMS1","BW",2,2
"S0139X","S0191X","Site 0139","Site 0191","Site 0139-Site 0191 OC1",1,222,"Site 0139-Site 0124 OMS1","FW",1,3
"S0139X","S0191X","Site 0139","Site 0191","Site 0139-Site 0191 OC1",2,102,"Site 0257-Site 0124 OMS1","BW",1,3
"S0139X","S0191X","Site 0139","Site 0191","Site 0139-Site 0191 OC1",3,610,"Site 0191-Site 0257 OMS1","BW",1,3
"S0139X","S0258X","Site 0139","Site 0258","Site 0139-Site 0258 OC1",1,675,"Site 0139-Site 0084 OMS1","FW",1,3
"S0139X","S0258X","Site 0139","Site 0258","Site 0139-Site 0258 OC1",2,823,"Site 0126-Site 0084 OMS1","BW",1,3
"S0139X","S0258X","Site 0139","Site 0258","Site 0139-Site 0258 OC1",3,342,"Site 0126-Site 0140 OMS1","FW",1,3
"S0139X","S0258X","Site 0139","Site 0258","Site 0139-Site 0258 OC1",4,341,"Site 0152-Site 0140 OMS1","BW",1,3
"S0139X","S0258X","Site 0139","Site 0258","Site 0139-Site 0258 OC1",5,423,"Site 0153-Site 0152 OMS1","BW",1,3
"S0139X","S0258X","Site 0139","Site 0258","Site 0139-Site 0258 OC1",6,28,"Site 0143-Site 0153 OMS1","BW",1,3
"S0139X","S0258X","Site 0139","Site 0258","Site 0139-Site 0258 OC1",7,26,"Site 0258-Site 0143 OMS1","BW",1,3
"S0236X","S0193X","Site 0236","Site 0193","Site 0236-Site 0193 OC1",1,226,"Site 0236-Site 0243 OMS1","FW",1,4
"S0236X","S0193X","Site 0236","Site 0193","Site 0236-Site 0193 OC1",2,435,"Site 0243-Site 0241 OMS2","FW",1,4
"S0236X","S0193X","Site 0236","Site 0193","Site 0236-Site 0193 OC1",3,492,"Site 0241-Site 0233 OMS1","FW",1,4
"S0236X","S0193X","Site 0236","Site 0193","Site 0236-Site 0193 OC1",4,75,"Site 0233-Site 0193 OMS1","FW",1,4
"S0236X","S0209X","Site 0236","Site 0209","Site 0236-Site 0209 OC1",1,232,"Site 0236-Site 0237 OMS1","FW",1,4
"S0236X","S0209X","Site 0236","Site 0209","Site 0236-Site 0209 OC1",2,537,"Site 0273-Site 0237 OMS1","BW",1,4
"S0236X","S0209X","Site 0236","Site 0209","Site 0236-Site 0209 OC1",3,536,"Site 0251-Site 0273 OMS1","BW",1,4
"S0236X","S0209X","Site 0236","Site 0209","Site 0236-Site 0209 OC1",4,539,"Site 0250-Site 0251 OMS1","BW",1,4
"S0236X","S0209X","Site 0236","Site 0209","Site 0236-Site 0209 OC1",5,460,"Site 0203-Site 0250 OMS1","BW",1,4
"S0236X","S0209X","Site 0236","Site 0209","Site 0236-Site 0209 OC1",6,459,"Site 0203-Site 0225 OMS1","FW",1,4
"S0236X","S0209X","Site 0236","Site 0209","Site 0236-Site 0209 OC1",7,373,"Site 0204-Site 0225 OMS1","BW",1,4
"S0236X","S0209X","Site 0236","Site 0209","Site 0236-Site 0209 OC1",8,190,"Site 0209-Site 0204 OMS1","BW",1,4
"S0295X","S0349X","Site 0295","Site 0349","Site 0295-Site 0349 OC1",1,235,"Site 0297-Site 0295 OMS1","BW",1,5
"S0295X","S0349X","Site 0295","Site 0349","Site 0295-Site 0349 OC1",2,384,"Site 0315-Site 0297 OMS1","BW",1,5
"S0295X","S0349X","Site 0295","Site 0349","Site 0295-Site 0349 OC1",3,346,"Site 0318-Site 0315 OMS1","BW",1,5
"S0295X","S0349X","Site 0295","Site 0349","Site 0295-Site 0349 OC1",4,325,"Site 0318-Site 0332 OMS1","FW",1,5
"S0295X","S0349X","Site 0295","Site 0349","Site 0295-Site 0349 OC1",5,328,"Site 0332-Site 0360 OMS1","FW",1,5
"S0295X","S0349X","Site 0295","Site 0349","Site 0295-Site 0349 OC1",6,429,"Site 0361-Site 0360 OMS1","BW",1,5
"S0295X","S0349X","Site 0295","Site 0349","Site 0295-Site 0349 OC1",7,120,"Site 0349-Site 0361 OMS1","BW",1,5
"S0295X","S0209X","Site 0295","Site 0209","Site 0295-Site 0209 OC1",1,237,"Site 0295-Site 0279 OMS1","FW",1,5
"S0295X","S0209X","Site 0295","Site 0209","Site 0295-Site 0209 OC1",2,593,"Site 0229-Site 0279 OMS1","BW",1,5
"S0295X","S0209X","Site 0295","Site 0209","Site 0295-Site 0209 OC1",3,354,"Site 0229-Site 0226 OMS1","FW",1,5
"S0295X","S0209X","Site 0295","Site 0209","Site 0295-Site 0209 OC1",4,353,"Site 0151-Site 0226 OMS1","BW",1,5
"S0295X","S0209X","Site 0295","Site 0209","Site 0295-Site 0209 OC1",5,478,"Site 0151-Site 0172 OMS1","FW",1,5
"S0295X","S0209X","Site 0295","Site 0209","Site 0295-Site 0209 OC1",6,376,"Site 0172-Site 0204 OMS3","FW",1,5
"S0295X","S0209X","Site 0295","Site 0209","Site 0295-Site 0209 OC1",7,190,"Site 0209-Site 0204 OMS1","BW",1,5
"S0016X","S0122X","Site 0016","Site 0122","Site 0016-Site 0122 OC1",1,240,"Site 0016-Site 0010 OMS1","FW",1,6
"S0016X","S0122X","Site 0016","Site 0122","Site 0016-Site 0122 OC1",2,474,"Site 0028-Site 0010 OMS1","BW",1,6
"S0016X","S0122X","Site 0016","Site 0122","Site 0016-Site 0122 OC1",3,137,"Site 0050-Site 0028 OMS1","BW",1,6
"S0016X","S0122X","Site 0016","Site 0122","Site 0016-Site 0122 OC1",4,126,"Site 0050-Site 0122 OMS1","FW",1,6
"S0016X","S0022X","Site 0016","Site 0022","Site 0016-Site 0022 OC1",1,241,"Site 0016-Site 0017 OMS1","FW",1,6
"S0016X","S0022X","Site 0016","Site 0022","Site 0016-Site 0022 OC1",2,439,"Site 0033-Site 0017 OMS1","BW",1,6
"S0016X","S0022X","Site 0016","Site 0022","Site 0016-Site 0022 OC1",3,440,"Site 0033-Site 0043 OMS1","FW",1,6
"S0016X","S0022X","Site 0016","Site 0022","Site 0016-Site 0022 OC1",4,156,"Site 0022-Site 0043 OMS1","BW",1,6
"S0338X","S0258X","Site 0338","Site 0258","Site 0338-Site 0258 OC1",1,243,"Site 0363-Site 0338 OMS1","BW",1,7
"S0338X","S0258X","Site 0338","Site 0258","Site 0338-Site 0258 OC1",2,446,"Site 0363-Site 0358 OMS1","FW",1,7
"S0338X","S0258X","Site 0338","Site 0258","Site 0338-Site 0258 OC1",3,587,"Site 0358-Site 0340 OMS1","FW",1,7
"S0338X","S0258X","Site 0338","Site 0258","Site 0338-Site 0258 OC1",4,503,"Site 0339-Site 0340 OMS1","BW",1,7
"S0338X","S0258X","Site 0338","Site 0258","Site 0338-Site 0258 OC1",5,500,"Site 0328-Site 0339 OMS1","BW",1,7
"S0338X","S0258X","Site 0338","Site 0258","Site 0338-Site 0258 OC1",6,508,"Site 0303-Site 0328 OMS1","BW",1,7
